"Moscow Cinema Theaters, 1946-1955",,,,,,,,
1946,,,,,,,,
Главное управление кинофикации. Кинотеатры союзного подчинения / Glavnoe upravlenie kinofikatsii. Kinoteatry soiuznogo podchineniia,,,,,,,,
Cinema,City,Location,Coordinates,,Run,Seats,Comments,Source
Юный зритель / IUnyĭ zritel',"Moscow, SU","Арбат, 39","55.74853398105157, 37.588827397745554",,2,353,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
1955,,,,,,,,
Отдел кинофикации управления культуры Мосгорисполкома / Otdel kinofikatsii upravleniia kul'tury Mosgorispolkoma,,,,,,,,
Cinema,City,Location,Coordinates,,Run,Seats ,Comments,Source
Авангард / Avangard,"Moscow, SU",Б. Якиманка,"55.731779, 37.611473",,2,463,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Аврора / Avrora,"Moscow, SU","ул. Чернышевского, 16","55.759157, 37.645708",,3,306,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Аквариум / Akvarium,"Moscow, SU","Б. Садовая, 14","55.76749154922368, 37.59480267864476",,2,732,summer cinema,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Баррикады / Barrikady,"Moscow, SU","Баррикадная, 21","55.76064794396243, 37.579330860186516	",,2,426,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
ВСХВ большой зал / VSKHV bol'shoī zal,"Moscow, SU",Территория ВСХВ,"55.831674872324214, 37.63130193594137",,1,736,summer cinema,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
ВСХВ малый зал / VSKHV malyī zal,"Moscow, SU",Территория ВСХВ,"55.831674872324214, 37.63130193594137",,2,438,summer cinema,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Дзержинский ПКиО / Dzerzhinskiĭ PKiO,"Moscow, SU","Останкинская, 17","55.83032412781143, 37.61469840946716	",,2,652,summer cinema,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Динамо / Dinamo,"Moscow, SU",Петровский парк,"55.79618060753062, 37.555168887144774	",,1,522,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Диск / Disk,"Moscow, SU",Мариинская ул. 23,"55.809621, 37.634416	",,3,207,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Дружба / Druzhba,"Moscow, SU",Новопесчанная ул. корп. 60,"55.79626860234792, 37.512730548107776",,1,277,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Заря / Zaria,"Moscow, SU",Пятницкая ул. 2,"55.745524, 37.626412	",,3,228,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Звезда / Zvezda,"Moscow, SU","ул. Чкалова, д. 8-22","55.76002828365596, 37.6571141119478",,1,228,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Знамя / Znamia,"Moscow, SU",Подгорская наб.д. 1/15,"55.74813515028734, 37.64490519799821",,1,332,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Измайловский ПКиО имени Сталина / Izmaĭlovskiĭ PKiO imeni Stalina,"Moscow, SU",Измайлово,"55.77299499453838, 37.76126878218039	",,3,600,summer cinema,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
им. Моссовета / im. Mossoveta,"Moscow, SU","Лужниковская, 27","55.716276142721824, 37.5739001982771",,1,684,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Искра / Iskra,"Moscow, SU","Дмитровское шоссе, 3а","55.81168032493068, 37.57701676520979",,3,210,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Кадр / Kadr,"Moscow, SU","Плющихa, 11","55.744520, 37.579277",,3,325,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Кинозал короткометражного фильма / Kinozal korotkometrazhnogo fil'ma,"Moscow, SU","Охотный ряд, 6","55.757521, 37.616369",,3,151,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,"Moscow, SU","ул. Герцена, 23/9","55.757288, 37.599238",,2,440,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Колизей / Kolizeĭ,"Moscow, SU","Чистые пруды, 19а","55.761781, 37.645941",,1,904,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Луч / Luch,"Moscow, SU",Сокольнической округ,"55.791681890731304, 37.68025349659428",,2,375,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
"Маяк 2-х зальный / Maiak, 2 venues","Moscow, SU",Дубровский пр. 4,"55.72449012452377, 37.664848882933924",,3,306,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
"Метрополь 3-х зальный / Metropol', 3 venues","Moscow, SU","Пл. Свердлова, 2/4","55.758448, 37.621669",,1,730,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Мир / Mir,"Moscow, SU","Сущевский вал, 15","55.79283816599655, 37.59796976091867",,2,323,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
"Молния 2-х зальный / Molniia, 2 venues","Moscow, SU","Новые Черемушки, корп. 18","55.682472,37.571654",,1,387,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Молот / Molot,"Moscow, SU","Русаковская, 23","55.785928, 37.675828",,2,328,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Москва,"Moscow, SU",Пл. Маяковского,"55.769671725991564, 37.59471331716628",,1,791,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Наука и знание / Nauka i znanie,"Moscow, SU","Арбат, 51","55.74814594330477, 37.587553398356306",,2,237,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Новости дня / Novosti dnia,"Moscow, SU",Тверской бульв. 23,"55.762386822142076, 37.602169862309225",,3,259,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Октябрь / Oktiabr',"Moscow, SU","Шереметьевская, 19","55.79929647698802, 37.61501275297922",,2,381,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Орион / Orion,"Moscow, SU",Преображенская пл. 7,"55.795618, 37.708499",,1,659,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Отдых / Otdykh,"Moscow, SU",Фрунзенская нам. 10б,"55.73262028126655, 37.59489651255558",,1,225,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Перекоп / Perekop,"Moscow, SU",Грохольский пер. 22,"55.777151, 37.638043	",,1,590,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Пионер / Pioner,"Moscow, SU",Можайское шоссе д. 31-35,"55.74514068259107, 37.55038335356596",,2,355,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
ПКиО Сокольники / PKIO Sokol'niki,"Moscow, SU",Сокольнической округ,"55.792565, 37.677725	",,1,701,summer cinema,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
"Пламя 2-х зальный / Plamia,2 venues","Moscow, SU",Пл. Восстания,"55.75901565453023, 37.580598513578416",,1,590,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Призыв / Prizyv,"Moscow, SU","Можайское шоссе, д. 47-51","55.717432889661616, 37.4076118136208	",,1,386,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Радуга / Raduga,"Moscow, SU","Спартаковская, 21","55.77319966176864, 37.67882190091637",,2,440,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
"Родина 2-х зальный / Rodina, 2 venues","Moscow, SU",Семеновская пл.,"55.781570, 37.717869",,1,1268,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Сад им. Баумана / Sad im. Baumana,"Moscow, SU","ул. Карла Маркса, 18","55.766581, 37.659918",,1,708,summer cinema,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Сад Эрмитаж / Sad Ėrmitazh,"Moscow, SU","Каретный ряд, 3","55.77080510877408, 37.60954337553044",,1,428,summer cinema,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
"Салют 2-х зальный / Saliut, 2 venues","Moscow, SU","Ниж. Масловка, д. 1/2","55.792065, 37.575222",,1,642,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
"Слава 2-х зальный / Slava, 2 venues","Moscow, SU","Шоссе Энтузиастов, 174","55.76173081200837, 37.77388895420797",,1,880,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Смена / Smena,"Moscow, SU","Б. Грузинская, 51","55.771020990551925, 37.582989154099984",,2,400,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Спартак / Spartak,"Moscow, SU","ул. Чернышевского, 55","55.76354670647905, 37.6548476160702",,3,336,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Стереокино / Stereokino,"Moscow, SU","пл. Свердлова, 1/3","55.76037895000343, 37.61916289759364",,,178,stereo films,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Таганский / Taganskiĭ,"Moscow, SU",Таганская пл. 12,"55.74038353434052, 37.654197842457705",,1,793,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
"Ударник, включая малый и красный залы, 496 мест / Udarnik, including small and reed venues of 496 places","Moscow, SU",ул. Серафимовича,"55.744450, 37.613072",,1,2098,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Уран / Uran,"Moscow, SU",Сретенка. 19,"55.77040452282041, 37.63155372711536",,1,937,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Форум / Forum,"Moscow, SU","Садово-Сухаревская, 14","55.773058432602916, 37.62740330442969",,1,1191,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Хроника / Khronika,"Moscow, SU","Сретенка, 4","55.767124, 37.631820",,3,267,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Художественный / Khudozhestvennyĭ,"Moscow, SU",Арбатская пл. 14,"55.752369, 37.602139",,1,994,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Центральный / Tsentral'nyĭ,"Moscow, SU","ул. Горького, 18-а","55.76592426048217, 37.60529052843362",,1,788,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
ЦПКиО им. Горького / TSPKiO im. Gor'kogo,"Moscow, SU","Крымский вал, 9","55.73154109054722, 37.60327706944183",,1,742,summer cinema,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Шторм / Shtorm,"Moscow, SU","Русаковская, 1","55.78235111103543, 37.67006121362364",,1,622,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Экран жизни / Ėkran zhizni,"Moscow, SU","Садово-Каретная, 45","55.77342398078649, 37.611662769437814",,2,565,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Экспресс / Ėkspress,"Moscow, SU","Цветной бульвар, 25","55.77321250837942, 37.620671571295084",,3,253,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Эрмитаж / Ėrmitazh,"Moscow, SU","Каретный ряд, 3","55.77035848488775, 37.60921074307702",,1,652,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
Юный зритель / IUnyĭ zritel',"Moscow, SU","Арбат, 39","55.74853398105157, 37.588827397745554",,2,351,,TCGAM. F. 265. Op. 1. D. 42. L. 72-73
